=======================================================
🕷  掌上高考 多年份录取数据爬虫（自适应版）
📅 目标年份: 2022, 2021, 2020
🔄 断点续爬模式
=======================================================

📋 从缓存加载学校列表：2955 所

=======================================================
📅 开始爬取 2022 年数据
=======================================================
📂 恢复进度(2022)：已完成 1000 所，插入 70319 条
🚀 从第 1001 所开始（共 2955 所），当前延迟 4s


[2022] [1061/2955] 沈阳城市学院       | 72646 条 | 5.1min | 剩余160min | 延迟4s  
[2022] [1062/2955] 兰州信息科技学院     | 72692 条 | 5.2min | 剩余160min | 延迟4s  
[2022] [1063/2955] 闽南理工学院       | 72723 条 | 5.2min | 剩余160min | 延迟4s  
[2022] [1064/2955] 杭州职业技术大学     | 72755 条 | 5.3min | 剩余160min | 延迟4s  
[2022] [1065/2955] 兰州资源环境职业技术大学 | 72789 条 | 5.4min | 剩余160min | 延迟4s  
[2022] [1066/2955] 阳光学院         | 72843 条 | 5.5min | 剩余160min | 延迟4s  
[2022] [1067/2955] 南宁学院         | 72891 条 | 5.6min | 剩余160min | 延迟4s  
[2022] [1068/2955] 中国消防救援学院     | 72933 条 | 5.7min | 剩余160min | 延迟4s  
[2022] [1069/2955] 哈尔滨华德学院      | 72981 条 | 5.8min | 剩余160min | 延迟4s  
[2022] [1070/2955] 石家庄铁道大学四方学院  | 73017 条 | 5.8min | 剩余160min | 延迟4s  
[2022] [1071/2955] 武汉纺织大学外经贸学院  | 73078 条 | 6.0min | 剩余160min | 延迟4s  
[2022] [1072/2955] 南京邮电大学通达学院   | 73140 条 | 6.1min | 剩余161min | 延迟4s  
[2022] [1073/2955] 黎明职业大学       | 73190 条 | 6.1min | 剩余161min | 延迟4s  
[2022] [1074/2955] 安徽三联学院       | 73228 条 | 6.2min | 剩余161min | 延迟4s  
[2022] [1075/2955] 武汉设计工程学院     | 73235 条 | 6.3min | 剩余160min | 延迟4s  
[2022] [1076/2955] 长春光华学院       | 73263 条 | 6.4min | 剩余160min | 延迟4s  
[2022] [1077/2955] 苏州大学应用技术学院   | 73318 条 | 6.5min | 剩余160min | 延迟4s  
[2022] [1078/2955] 浙江财经大学东方学院   | 73348 条 | 6.5min | 剩余160min | 延迟4s  
[2022] [1079/2955] 中国计量大学现代科技学院 | 73372 条 | 6.6min | 剩余159min | 延迟4s  
[2022] [1080/2955] 南昌航空大学科技学院   | 73397 条 | 6.7min | 剩余159min | 延迟4s  
[2022] [1081/2955] 商丘工学院        | 73443 条 | 6.8min | 剩余159min | 延迟4s  
[2022] [1082/2955] 天津理工大学中环信息学院 | 73473 条 | 6.9min | 剩余159min | 延迟4s  
[2022] [1083/2955] 苏州科技大学天平学院   | 73527 条 | 7.0min | 剩余159min | 延迟4s  
[2022] [1084/2955] 湖北大学知行学院     | 73553 条 | 7.0min | 剩余159min | 延迟4s  
[2022] [1085/2955] 江苏师范大学科文学院   | 73603 条 | 7.1min | 剩余159min | 延迟4s  
[2022] [1086/2955] 桂林信息科技学院     | 73637 条 | 7.2min | 剩余159min | 延迟4s  
[2022] [1087/2955] 重庆工商大学派斯学院   | 73687 条 | 7.3min | 剩余159min | 延迟4s  
[2022] [1088/2955] 黑龙江财经学院      | 73732 条 | 7.4min | 剩余159min | 延迟4s  
